Presidency ,President ,Wikipedia Entry,Took office ,Left office ,Party ,Home State
1,George Washington,http://en.wikipedia.org/wiki/George_Washington,1789-04-30,1797-03-04,Independent ,Virginia
2,John Adams,http://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,Federalist ,Massachusetts
3,Thomas Jefferson,http://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,Democratic-Republican ,Virginia
4,James Madison,http://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,Democratic-Republican ,Virginia
5,James Monroe,http://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,Democratic-Republican ,Virginia
6,John Quincy Adams,http://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,Democratic-Republican/National Republican ,Massachusetts
7,Andrew Jackson,http://en.wikipedia.org/wiki/Andrew_Jackson,1829-03-04,1837-03-04,Democratic ,Tennessee
8,Martin Van Buren,http://en.wikipedia.org/wiki/Martin_Van_Buren,1837-03-04,1841-03-04,Democratic ,New York
9,William Henry Harrison,http://en.wikipedia.org/wiki/William_Henry_Harrison,1841-03-04,1841-04-04,Whig,Ohio
10,John Tyler,http://en.wikipedia.org/wiki/John_Tyler,1841-04-04,1845-03-04,Whig,Virginia
11,James K. Polk,http://en.wikipedia.org/wiki/James_K._Polk,1845-03-04,1849-03-04,Democratic ,Tennessee
12,Zachary Taylor,http://en.wikipedia.org/wiki/Zachary_Taylor,1849-03-04,1850-07-09,Whig,Louisiana
13,Millard Fillmore,http://en.wikipedia.org/wiki/Millard_Fillmore,1850-07-09,1853-03-04,Whig,New York
14,Franklin Pierce,http://en.wikipedia.org/wiki/Franklin_Pierce,1853-03-04,1857-03-04,Democratic ,New Hampshire
15,James Buchanan,http://en.wikipedia.org/wiki/James_Buchanan,1857-03-04,1861-03-04,Democratic ,Pennsylvania
16,Abraham Lincoln,http://en.wikipedia.org/wiki/Abraham_Lincoln,1861-03-04,1865-04-15,Republican/National Union,Illinois
17,Andrew Johnson,http://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,Democratic/National Union,Tennessee
18,Ulysses S. Grant,http://en.wikipedia.org/wiki/Ulysses_S._Grant,1869-03-04,1877-03-04,Republican ,Ohio
19,Rutherford B. Hayes,http://en.wikipedia.org/wiki/Rutherford_B._Hayes,1877-03-04,1881-03-04,Republican ,Ohio
20,James A. Garfield,http://en.wikipedia.org/wiki/James_A._Garfield,1881-03-04,1881-09-19,Republican ,Ohio
21,Chester A. Arthur,http://en.wikipedia.org/wiki/Chester_A._Arthur,1881-09-19,1885-03-04,Republican ,New York
22,Grover Cleveland,http://en.wikipedia.org/wiki/Grover_Cleveland,1885-03-04,1889-03-04,Democratic ,New York
23,Benjamin Harrison,http://en.wikipedia.org/wiki/Benjamin_Harrison,1889-03-04,1893-03-04,Republican ,Indiana
24,Grover Cleveland (2nd term),http://en.wikipedia.org/wiki/Grover_Cleveland,1893-03-04,1897-03-04,Democratic ,New York
25,William McKinley,http://en.wikipedia.org/wiki/William_McKinley,1897-03-04,1901-09-14,Republican ,Ohio
26,Theodore Roosevelt,http://en.wikipedia.org/wiki/Theodore_Roosevelt,1901-09-14,1909-03-04,Republican ,New York
27,William Howard Taft,http://en.wikipedia.org/wiki/William_Howard_Taft,1909-03-04,1913-03-04,Republican ,Ohio
28,Woodrow Wilson,http://en.wikipedia.org/wiki/Woodrow_Wilson,1913-03-04,1921-03-04,Democratic ,New Jersey
29,Warren G. Harding,http://en.wikipedia.org/wiki/Warren_G._Harding,1921-03-04,1923-08-02,Republican ,Ohio
30,Calvin Coolidge,http://en.wikipedia.org/wiki/Calvin_Coolidge,1923-08-02,1929-03-04,Republican ,Massachusetts
31,Herbert Hoover,http://en.wikipedia.org/wiki/Herbert_Hoover,1929-03-04,1933-03-04,Republican ,Iowa
32,Franklin D. Roosevelt,http://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,Democratic,New York
33,Harry S. Truman,http://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,Democratic,Missouri
34,Dwight D. Eisenhower,http://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,Republican ,Texas
35,John F. Kennedy,http://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,Democratic,Massachusetts
36,Lyndon B. Johnson,http://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,Democratic,Texas
37,Richard Nixon,http://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,Republican,California
38,Gerald Ford,http://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,Republican,Michigan
39,Jimmy Carter,http://en.wikipedia.org/wiki/Jimmy_Carter,1977-01-20,1981-01-20,Democratic ,Georgia
40,Ronald Reagan,http://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,Republican ,California
41,George H. W. Bush,http://en.wikipedia.org/wiki/George_H._W._Bush,1989-01-20,1993-01-20,Republican ,Texas
42,Bill Clinton,http://en.wikipedia.org/wiki/Bill_Clinton,1993-01-20,2001-01-20,Democratic ,Arkansas
43,George W. Bush,http://en.wikipedia.org/wiki/George_W._Bush,2001-01-20,2009-01-20,Republican ,Texas
44,Barack Obama,http://en.wikipedia.org/wiki/Barack_Obama,2009-01-20,2017-01-20,Democratic ,Illinois
45,Donald Trump,http://en.wikipedia.org/wiki/Donald_Trump,2017-01-20,Incumbent,Republican ,New York
